Site Name,Neighborhood,Address,City,State,Zip Code,Type of Historic Resource,Date Built / Architect
Thomas Meehan Public School,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,"1901, Lloyd Titus"
Grace Baptist Church Building #2,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,"late 1960s, Mansell, McGettigan & Fugate"
Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,church,"1891, Mantle Fielding"
Janes Methodist Church Building,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,"ca. 1898 or 1911, Rankin and Kellogg"
Germantown YMCA,Northwest,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,"1928, Thomas, Martin & Kirkpatrick"
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976"
Aces Museum,Northwest,5801-5803 Germantown Ave.,Philadelphia,PA,19144,"museum, USO",ca. 1900; alterations 1950
Bethel A.M.E. Church (Germantown) Building #1 / Mt. Vernon Baptist Church,Northwest,460 E. Rittenhouse St.,Philadelphia,PA,19144,church,1893
C. Delores Tucker House,Northwest,6700 Lincoln Dr.,Philadelphia,PA,19119,dwelling,
Canaan Baptist Church Site,Northwest,524 E. Haines St.,Philadelphia,PA,19144,church,
Cliveden,Northwest,6401 Germantown Ave.,Philadelphia,PA,19119,"dwelling, museum","1763, 1764"
Douglass House Site,Northwest,6200 Germantown Ave.,Philadelphia,PA,19144,dwelling,
Dr. William H. Warrick House and Office,Northwest,31 or 41 W. Harvey St.,Philadelphia,PA,19144,"dwelling, office",
Enon Tabernacle Baptist Church Site,Northwest,5 W. Coulter St.,Philadelphia,PA,19144,church,
First Protest Against Slavery / Kunder House,Northwest,5109 Germantown Ave.,Philadelphia,PA,19144,dwelling,
Florence Crittenton Home / Youth Service Inc. / Crittenton Family Support Center,Northwest,6325 Burbridge Street,Philadelphia,PA,19144,,
George W. Deane Real Estate Office,Northwest,5914 Germantown Ave.,Philadelphia,PA,19144,office building,
Germantown Free Kindergarten,Northwest,Pulaski Ave. and W. Queen Lane,Philadelphia,PA,19144,school,
Germantown Industrial School for Colored Women,Northwest,30 Armat St.,Philadelphia,PA,19144,school,
Germantown Mennonite Meetinghouse,Northwest,6133 Germantown Ave.,Philadelphia,PA,19144,meetinghouse,1770
Germantown Settlement,Northwest,48 E. Penn St.,Philadelphia,PA,19144,"dwelling, settlement house",ca. 1855
Germantown YWCA Branch for Colored Girls and Women,Northwest,6128 Germantown Ave.,Philadelphia,PA,19144,young women's Christian association,ca. 1854
Holsey C.M.E. Church,Northwest,5305 Germantown Ave.,Philadelphia,PA,19144,church,ca. 1969
Horn & Hardart,Northwest,Germantown Ave. and School House Lane,Philadelphia,PA,19144,restaurant,
John Trower Catering Company,Northwest,5706 Germantown Ave.,Philadelphia,PA,19144,"dwelling, store",ca. 1870; alterations ca. 1978
Johnson House,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,1768
Joseph E. Hill School,Northwest,110 W. Rittenhouse St.,Philadelphia,PA,19144,school,
Josie D. Heard A.M.E. Church / Manayunk A.M.E. Church,Northwest,4321 Tower St.,Philadelphia,PA,19127,church,
Louisa May Alcott House,Northwest,5425 Germantown Ave.,Philadelphia,PA,19144,dwelling,
Mae V. Cowdery Family House,Northwest,222 W. Penn St.,Philadelphia,PA,19144,dwelling,
Pelham District,Northwest,Pelham Rd. between Greene St. and Germantown Ave.,Philadelphia,PA,19144,,
Peoples' Presbyterian Church,Northwest,W. Coulter St.,Philadelphia,PA,,church,
"Potter's Field, Pulaski Town",Northwest,Pulaski Ave. and W. Queen Lane,Philadelphia,PA,19144,cemetery,
Pulaski Town,Northwest,"Wayne Ave. to Morris St., Coulter St. to W. Queen Lane",Philadelphia,PA,19144,,
Robert Clymer House Site / Germantown High School,Northwest,5819 Germantown Ave.,Philadelphia,PA,19144,school,
Rock House,Northwest,E. Penn St.,Philadelphia,PA,19144,dwelling,
Sadie T. M. Alexander House,Northwest,700 Westview St.,Philadelphia,PA,19119,dwelling,
St. Barnabas Mission / St. Barnabas Episcopal Church / Mt. Tabor Church,Northwest,62 W. Rittenhouse St.,Philadelphia,PA,19144,church,1849
St. Luke's Episcopal Church,Northwest,5411-5421 Germantown Ave.,Philadelphia,PA,19144,church,ca. 1875-1876; numerous alterations
St. Magdalen's Asylum for Colored Girls and Women,Northwest,Penn St. and Chew Ave.,Philadelphia,PA,19138,,
St. Mary's Mission for Colored People,Northwest,6138 Germantown Ave.,Philadelphia,PA,19144,school,
Tioga Mission / Faith Presbyterian Church / Mt. Moriah Baptist Church,Northwest,5331-5335 Pulaski Ave.,Philadelphia,PA,19144,church,1914
Walter C. Beckett Funeral Home,Northwest,216 Coulter St.,Philadelphia,PA,19144,funeral home,
William Fisher Tavern / David Knight Barber Shop,Northwest,5827 Germantown Ave.,Philadelphia,PA,19144,"tavern, barbershop",
William Penn Charter School,Northwest,3000 W. School House Lane,Philadelphia,PA,19144,school,
Wissahickon Boys Club,Northwest,Coulter St. and Pulaski Ave.,Philadelphia,PA,19144,,
Bainbridge Club / Hotel Brotherhood USA,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,"ca. 1919, A. Borzner"
Gloria Dei Church / Old Swedes' Episcopal Church,South,916 S. Swanson St.,Philadelphia,PA,19147,church,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr."
Elks Lodge,South,739-43 S. 16th St.,Philadelphia,PA,19146,,"ca. 1928, C. Adams"
Union Baptist Church Building #2,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son"
St. Charles Borromeo Church,South,1941 Christian St.,Philadelphia,PA,19146,church,"1876, Edwin Forrest Durang"
Holy Trinity Baptist Church,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,"1900, Edwin Gilbert of Gilbert & Reid"
YWCA - Southwest-Belmont Branch,South,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,"ca. 1922, Erskine, Morris"
Shiloh Baptist Church #3 / Church of the Holy Apostles,South,2040 Christian St.,Philadelphia,PA,19146,church,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt"
Harrison Day Nursery,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,"1898, Furness, Evans and Co."
Zion A.M.E. Church,South,1600 S. 21st St.,Philadelphia,PA,19145,church,"1925-1928, George E. Savage"
St. Martha's House / Houston Community Center,South,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,"ca. 1914, Hastings Brockie"
St. Mary Chapel Building,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,"1897, Hazlehurst & Huckel"
Varick Memorial Church Site,South,763 S. 19th St.,Philadelphia,PA,19146,church,"1889, Hazlehurst & Huckel"
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,1730 Wharton St.,Philadelphia,PA,19146,church,"1885-1888, J. Franklin Stuckert"
Church of the Crucifixion Building and Parish House,South,620 S. 8th St.,Philadelphia,PA,19147,church,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler"
Tasker Street Baptist Church / Metropolitan Baptist Church,South,2010 Tasker St.,Philadelphia,PA,19145,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely"
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,South,1642 Fitzwater St.,Philadelphia,PA,19146,church,"1857, Samuel Sloan"
Union Baptist Building #1 / New Hope Temple Baptist Church,South,711-715 S. 12th St.,Philadelphia,PA,19147,church,"1893, Thomas Bennett"
Moyamensing Prison,South,10th and Reed Sts.,Philadelphia,PA,19147,prison,"ca. 1832-1835, Thomas Ustick Walter; many alterations; demolished 1968"
St. Simon the Cyrenian Church and Rectory,South,1401 S. 22nd St.,Philadelphia,PA,19146,church,"1905 (rectory), 1913-1914, Thomas, Churchman & Molitor"
First Penny Savings and Loan,South,2052 Bainbridge St.,Philadelphia,PA,19146,bank,"ca. 1914, W. Haddock"
First African Baptist Church Building,South,1600-1606 Christian St.,Philadelphia,PA,19146,church,"1904, Watson & Huckel"
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,South,609 S. Clifton St.,Philadelphia,PA,19147,church,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953"
Alain Leroy Locke House,South,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,
Allen A.M.E. Church Building #2 / First Church of the Covenanters Presbyterian Church / New Light Beulah Baptist Church,South,1701-1711 Bainbridge St.,Philadelphia,PA,19146,church,ca. 1870
Bainbridge Street Methodist Church / Associated Presbyterian Church Site,South,1122-1128 Bainbridge St.,Philadelphia,PA,19147,church,
Bessie Calhoun Bird House,South,22nd and Bainbridge Sts.,Philadelphia,PA,19146,dwelling,
Bessie Smith House,South,1319 Christian St.,Philadelphia,PA,19147,dwelling,
Bethsaida A.M.E. Zion Church,South,Bainbridge near 12th; 12th and Fitzwater,Philadelphia,PA,19147,church,
Bright Hope Baptist Church,South,2431 S. Alder St.,Philadelphia,PA,19148,church,
Christian Street YMCA,South,1724 Christian St.,Philadelphia,PA,19146,young men's Christian association,ca. 1914; rebuilt 1969
Church of God and Saints of Christ,South,Fitzwater near Broad St.,Philadelphia,PA,,church,
Church of the Lord Jesus Christ of the Apostolic Faith,South,701 S. 22nd St.,Philadelphia,PA,19146,church,
Circle Mission Church / Divine Enterprises Headquarters,South,764-72 S. Broad St.,Philadelphia,PA,19146,church,ca. 1897
Clef Club of Philadelphia,South,738 S. Broad St.,Philadelphia,PA,19146,,
Davis Chapel Building,South,1026 S. 22nd St.,Philadelphia,PA,19146,church,
Eden Baptist Church,South,"Moyamensing Ave., near Sartain St.",Philadelphia,PA,19148,church,
Eliza Turner,South,"Tasker, above 12th St.",Philadelphia,PA,,church,
First African Presbyterian Church / Tabor Presbyterian Church site,South,1800-1806 Catharine St.,Philadelphia,PA,19146,church,
First African Presbyterian Church Site #1,South,705-711 S. 7th St.,Philadelphia,PA,19147,church,
Frances Ellen Watkins Harper House,South,1006 Bainbridge St.,Philadelphia,PA,19147,dwelling,"1860, 1890"
Grace Church / First Reformed Presbyterian Church,South,1146 S. 19th St.,Philadelphia,PA,19146,church,ca. 1875
Hope Presbyterian Church,South,1301-1307 S. 33rd St.,Philadelphia,PA,19146,church,1887
Institute for Colored Youth,South,915 Bainbridge St.,Philadelphia,PA,19147,school,ca. 1865-1866
Jack and Jill of America,South,1605 Christian St.,Philadelphia,PA,19146,,
James W. Queen Memorial Chapel,South,1309-1319 S. 33rd St.,Philadelphia,PA,19146,church,
John Wesley Methodist Church Site #1,South,732 Bainbridge St.,Philadelphia,PA,19147,church,
Julian F. Abele House,South,1515 Christian St.,Philadelphia,PA,19146,dwelling,
Lebanon Cemetery,South,1800 W. Passyunk Ave.,Philadelphia,PA,19145,cemetery,
Lincoln Day Nursery,South,1706 Bainbridge St.,Philadelphia,PA,19146,day care,
Marian Anderson House,South,762 S. Martin St.,Philadelphia,PA,19146,"dwelling, museum",
Marian Anderson Recreation Center,South,744 S. 17th St.,Philadelphia,PA,19146,recreation center,
Mercy Hospital - Site #1,South,17th and Fitzwater Sts.,Philadelphia,PA,19146,hospital,
Metropolitan A.M.E. Zion Church,South,725 S. 20th St.,Philadelphia,PA,19146,church,ca. 1861
Metropolitan A.M.E. Zion Church,South,15th and Christian Sts.,Philadelphia,PA,19146,church,
Mount Moriah Baptist Church Site,South,1617-1619 Catharine St.,Philadelphia,PA,19146,church,
Mount Zion A.M.E. Church,South,20th and Fitzwater Sts.,Philadelphia,PA,19146,church,
Philadelphia Association for the Protection of Colored Women,South,1506-8 Catharine St.,Philadelphia,PA,19146,,
Progressive Workingmen's Club,South,S. 11th St.,Philadelphia,PA,19147,,
St. Mark Mission Church,South,S. 11th St. near Bainbridge St.,Philadelphia,PA,19147,church,
St. Mary Church,South,938 S. 6th St.,Philadelphia,PA,19147,church,
St. Paul Church,South,1738 Dickinson St.,Philadelphia,PA,19146,church,
Thompson Mission Church,South,17th and Kater Sts.,Philadelphia,PA,19146,church,
Tindley Temple United Methodist Church / Calvary Methodist Church,South,750-62 S. Broad St.,Philadelphia,PA,19146,church,ca. 1924
"Union Local 274, American Federation of Musicians",South,912 S. Broad St.,Philadelphia,PA,19146,union,
United House of Prayer for All People,South,742 S. 16th St.,Philadelphia,PA,19146,church,ca. 1925
Women's Exchange and Girls' Home / Industrial Exchange Training School and Dormitory,South,756 S. 12th St.,Philadelphia,PA,19147,"school, dormitory",
Zion A.M.E. Church Site,South,1522-1524 S. 7th St.,Philadelphia,PA,19147,church,
Dutrieuille Catering Site #2,West,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,"ca. 1888, A. Wade"
First African Presbyterian Church / Emmanuel Presbyterian Church,West,4159 W. Girard Ave.,Philadelphia,PA,19104,church,"1912, Charles Bolton & Son"
St. Matthew Church Building,West,215 N. 57th St.,Philadelphia,PA,19139,church,"1940, Charles Bolton & Son"
Bethel Baptist Church,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,"1924, Clarence Caspary"
Franklin Field,West,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,"1922, Day & Klauder"
St. Monica Mission Church Site,West,4206 Woodland Ave.,Philadelphia,PA,19104,church,"1914-1916, Duhring, Okie and Ziegler"
Paul Leroy Robeson House,West,4951 Walnut St.,Philadelphia,PA,19139,dwelling,"1911, E.A. Wilson; alterations, ca. 1959"
African Episcopal Church of St. Thomas Site #3,West,6361 Lancaster Ave.,Philadelphia,PA,19151,church,"1899, Frederick Mann; alterations, 1905, Baily & Bassett"
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,West,5901 Larchwood Ave.,Philadelphia,PA,19143,church,"1917, George D. Savage"
Mount Pisgah A.M.E. Church / Centenary Methodist Church,West,428 N. 41st St.,Philadelphia,PA,19104,church,"ca. 1860s-1880s; alterations, 1901, H. King; alterations, 1913, James Fernald; rebuilt after fire, 1944"
Mount Carmel Baptist Church,West,5732 Race St.,Philadelphia,PA,19139,church,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II"
Clanerda Presbyterian Church,West,34th and Girard Sts.,Philadelphia,PA,19104,church,"ca. 1912, Horace Trumbauer (Julian Abele)"
Irvine Auditorium (University of Pennsylvania),West,3401 Spruce St.,Philadelphia,PA,19104,auditorium,"ca. 1928, Horace Trumbauer (Julian Abele)"
Otto Eisenlohr House / President's House (University of Pennsylvania),West,3812 Walnut St.,Philadelphia,PA,19104,dwelling,"ca. 1905, Horace Trumbauer (Julian Abele)"
Zoological Society Building,West,34th and Girard Sts.,Philadelphia,PA,19104,,"ca. 1912, Horace Trumbauer (Julian Abele)"
Stephen Smith Home for the Aged and Infirmed,West,4400 W. Girard Ave.,Philadelphia,PA,19104,retirement home,"ca. 1883, Hutton, Addison"
Overbrook High School (Wilt Chamberlain),West,5898 Lancaster Ave.,Philadelphia,PA,19131,school,"1924, Irwin T. Catherine"
Star of Hope Baptist Church,West,443 N. 60th St.,Philadelphia,PA,19151,church,"ca. 1962, James Plater"
Tyree A.M.E. Church / 10th United Presbyterian Church,West,3800 Hamilton St.,Philadelphia,PA,19104,church,"1886, Lawrence Valk"
Pinn Memorial Baptist Church / Har Zion Synagogue,West,2251 N. 54th St.,Philadelphia,PA,19131,church,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey"
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,West,4201 Powelton Ave.,Philadelphia,PA,19104,church,"ca. 1875; alterations, 1903, Morris & Vaux"
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,"before 1922; alterations as church, 1937, Richard Neely"
Monumental Baptist Church / First Reformed Church,West,4948 Locust St.,Philadelphia,PA,19139,church,"1923-1925, Stuckert & Co."
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",West,907 N. 41st St.,Philadelphia,PA,19104,church,"1892, T. P. Lonsdale"
White Rock Baptist Church / St. Matthew M.E. Church,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl"
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,West,4238 Wallace St.,Philadelphia,PA,19104,church,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock"
African-American Baseball Fields,West,Belmont and Parkside Ave.,Philadelphia,PA,19104,,
Arnett A.M.E. Church Site,West,1416 S. Hanson St.,Philadelphia,PA,19143,church,
Asbury Methodist Episcopal Church,West,33rd and Chestnut Sts.,Philadelphia,PA,19104,church,
Banneker School,West,7013 Woodland Ave.,Philadelphia,PA,19142,school,
Barnes Argyrol Factory,West,40th and Filbert Sts.,Philadelphia,PA,19104,factory,
Berean Baptist Church #1,West,3838 Haverford Ave.,Philadelphia,PA,19104,church,
Berean Building and Loan Association,West,5228 Chestnut St.,Philadelphia,PA,19139,bank,
Black Oak Park / Malcolm X Memorial Park,West,5150 Pine St.,Philadelphia,PA,19143,park,
Calvary Baptist Church site,West,8600-8604 Erwig Ave.,Philadelphia,PA,19153,church,
Clearview A.M.E. Church,West,79th and Eastwick,Philadelphia,PA,19153,church,
Crystal Bird Fauset House,West,5403 Vine St.,Philadelphia,PA,19139,dwelling,
Divine Tracy Hotel,West,20 S. 36th St.,Philadelphia,PA,19104,hotel,ca. 1920s
Elmwood Mission Church / St. Paul A.M.E. Church site,West,86th and Eastwick Place,Philadelphia,PA,19153,church,
Freedom Now Rally (Dr. Martin Luther King Jr.),West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,
Hog Island,West,"along Delaware River, just below Ft. Mifflin",Philadelphia,PA,19153,,
Holy Temple Church Building,West,6000 Callowhill St.,Philadelphia,PA,19151,church,ca. 1920s-1930s
Home for Destitute Colored Children,West,Berks and 54th Sts.,Philadelphia,PA,19131,,
House of St. Michaels and All Angels,West,603-615 N. 43rd St.,Philadelphia,PA,19104,,
"House of Umoja, Inc.",West,1401 N. Frazier St.,Philadelphia,PA,19131,dwelling,
J. B. Reeve Memorial Church,West,4929 Aspen St.,Philadelphia,PA,19139,church,ca. 1910-1930
John Wesley Methodist Church Site #2,West,715 N. 46th St.,Philadelphia,PA,19104,church,
John Wesley Methodist Church Site #3,West,Aspen near N. 42nd St.,Philadelphia,PA,19104,church,
Laura Wheeler Waring House,West,756 N. 43rd St.,Philadelphia,PA,19104,dwelling,
Macedonia Baptist Church,West,Paschall Ave.,Philadelphia,PA,19142,church,
Mercy Hospital - Site #2,West,50th St. and Woodland Ave.,Philadelphia,PA,19143,hospital,
Monumental Baptist Church / St. James Pentecostal Church,West,4101 Ludlow St.,Philadelphia,PA,19104,church,"original building, 1846; substantial alterations, late 1870s"
Mount Olivet Baptist Church Building,West,647 N. 42nd St.,Philadelphia,PA,19104,church,ca. 1930s
Mount Olivet Baptist Church Site,West,3608-3616 Powelton Ave.,Philadelphia,PA,19104,church,
Mount Pisgah Church Site,West,4008 Locust St.,Philadelphia,PA,19104,church,
MOVE site,West,6221 Osage Ave.,Philadelphia,PA,19143,,
Olive Cemetery,West,W. Girard Ave. and Merion,Philadelphia,PA,19131,cemetery,ca. 1850
Philadelphia Greek Picnic,West,Fairmount Park,Philadelphia,PA,,festival,n/a
Pillar & Ground of Truth Church,West,Haverford Ave. and 38th St.,Philadelphia,PA,19104,church,
Pinn Memorial Baptist Church Site,West,possibly near 700 Holly St.,Philadelphia,PA,19104,church,
Progressive Church,West,57th and Race Sts.,Philadelphia,PA,19139,church,
Providence Baptist Church,West,37th at Filbert St.,Philadelphia,PA,19104,church,
Shelter for Colored Orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,
St. Ignatius of Loyola Parish House and School,West,632-644 N. 43rd St.,Philadelphia,PA,19104,"parish house, school",1905
St. John A.M.E. Church Site,West,7207 Greenway Ave.,Philadelphia,PA,19142,church,
St. John the Divine Church,West,57th at Race St.,Philadelphia,PA,19139,church,
St. Matthew Church Site,West,5801 Vine St.,Philadelphia,PA,19139,church,
St. Paul A.M.E. Church Building,West,8398 Lindbergh Blvd.,Philadelphia,PA,19153,church,
Tabernacle Church,West,Island Ave.,Philadelphia,PA,,church,
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,"dwelling, museum","ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905"
Ward A.M.E. Church / 43rd St. Methodist Church,West,728 N. 43rd St.,Philadelphia,PA,19104,church,before 1910
Ward A.M.E. Church Site,West,4601 Aspen St.,Philadelphia,PA,19139,church,
White Rock Baptist Church Site,West,45th and Aspen Sts.,Philadelphia,PA,19104,church,
Woodlands Cemetery,West,4000 Woodland Ave.,Philadelphia,PA,19104,cemetery,ca. 1843; house ca. 1770-1790
